При переходе с русско-язычной версии сайта на карточку товара - открывается карточка товара на испанском языке.,
Описание,"Шаги воспроизведения: 
1. Открыть главную страницу ""Алиэкспресс"" на русском языке. https://aliexpress.ru/ 
2. Скроллить в нижнюю часть страницы до ""Подборок товаров"" (располагающиеся ниже меню ""Навигация по категориям"") 
3. Кликать по любому, из товаров (из категории ""Подборка товаров"").

ФР: При переходе с русско-язычной версии сайта на карточку товара - открывается карточка товара на испанском языке. 
ОР: При переходе с русско-язычной версии сайта на карточку товара - открывается карточка товара на русском языке"
Проект ,Модуль - Карточки товаров
Компонент,Карточка товара
Версия билда,1.00
Серьезность,Тривиальный
Приоритет,Низкий
Статус,Новый
Автор,Матросов А.
Окружение,"Mac Os 10.11.6, Safari 11.11.2"
,
,
,
,
"После удаления товара из корзины - напоминание о кол-ве товара в корзине (в верхней части веб-страницы) становится равно единице ""1""",
Описание,"Шаги воспроизведения: 
1. Перейти в корзину, при помощи,нажатия значка корзины вправом углу главной страницы https://aliexpress.ru/.
2. Открыть ""Корзину"", с добавленными раннее в нее, товарами. 
3. Удалить все товары из корзины. 
4. Возврат на главную страницу ""Алиэкспресс"". 
5. Возврат в ""Корзину"". 

ФР: После удаления товара из корзины - напоминание о кол-ве товара в корзине (в верхней части веб-страницы) становится равно единице ""1"" 
ОР: После удаления товара из корзины - напоминание о кол-ве товара в корзине изменяется в меньшую сторону."
Проект ,Модуль - Корзина
Компонент,Корзина с товарами
Версия билда,1.00
Серьезность,Тривиальный
Приоритет,Низкий
Статус,Новый
Автор,Матросов А.
Окружение,"Mac Os 10.11.6, Safari 11.11.2"
,
,
,
,
"После добавления от 2-х до +∞ товаров в корзину, напоминание о кол-ве товара в корзине (в верхней части веб-страницы) становится равно 1 (одной) штуке.",
Описание,"Шаги воспроизведения: 
1. Перейти в корзину, при помощи,нажатия значка корзины вправом углу главной страницы https://aliexpress.ru/.
2. Добавить от 2 до +∞ товаров в корзину. 
3. Открыть корзину или обновить страницу + Открыть корзину. 
 
ФР: После добавления от 2-х до +∞ товаров в корзину, напоминание о кол-ве товара в корзине (в верхней части веб-страницы) становится равно 1 (одной) штуке. 
ОР: После добавления товаров в корзину отображение в напоминании, (в верхней части таблице) меняется пропорционально кол-ву, добавленного товара в ""Корзину""."
Проект ,Модуль - Корзина
Компонент,Корзина товара
Версия билда,1.00
Серьезность,Тривиальный
Приоритет,Низкий
Статус,Новый
Автор,Матросов А.
Окружение,"Mac Os 10.11.6, Safari 11.11.2"
,
,
,
,
Не отображаются CSS элементы дизайна страниц,
Описание,"Шаги воспроизведения: 
1. Открыть главную страницу ""Алиэкспресс"". 

ФР: Не отображаются CSS элементы дизайна страниц. 
ОР: Все CSS элементы отображаются в соответствии с мокапами."
Проект ,"Модуль - Главная страница ""Алиэкспресс"""
Компонент,"Главная страница ""Алиэкспресс"""
Версия билда,1.00
Серьезность,Тривиальный
Приоритет,Высокий
Статус,Новый
Автор,Матросов А.
Окружение,"Mac Os 10.11.6, Safari 11.11.2"
,
,
,
,
"На главной странице сайта ""Алиэкспресс"" рекламные баннеры не меняются на язык, на который сайт был изменен.",
Описание,"Шаги воспроизведения: 
1. Открыть главную страницу ""Алиэкспресс"". 
2. Во вкладке  ""сменить язык"" поменять на любой из предложенных языков. 
3. Главную страницу скроллить вниз, просматривать подборки товаров. 

ФР: На главной странице сайта ""Алиэкспресс"" рекламные баннеры не меняются на язык, на который сайт был изменен. 
ОР: На главной странице сайта ""Алиэкспресс"" рекламные баннеры меняются, в соответствии с выбранным языком веб-сайта."
Проект ,"Модуль - Главная старница - ""Алиэкспресс"""
Компонент,"Главная страница ""Алиэкспресс"" https://aliexpress.ru"
Версия билда,1.00
Серьезность,Тривиальный
Приоритет,Низкий
Статус,Новый
Автор,Матросов А.
Окружение,"Mac Os 10.11.6, Safari 11.11.2"